Timestamp,What is the email address that you used to give us data?,Which NFL team do you root for?,"Which state are you from (answer in the form ""NY"" or ""FL"", etc.)",How many years have you been playing fantasy football?,Which of these do you subscribe to / watch / use?,# services,Hours / wk,How many NFL games do you watch per week?,What is your gender?,"What was the last time you played an organized (Varsity, JV, Club) sport?",Do you play any other Fantasy Sports?
12/11/14 14:31,,New York Jets,NY,5,"SportsCenter, NFL.com, ESPN.com, NFL Redzone",4,1,8,Male,I played club or JV sports in High School,None
12/11/14 14:33,,Philadelphia Eagles,PA,2,SportsCenter,1,1,1,Male,I play on a college club or JV team,None
12/12/14 12:04,,Philadelphia Eagles,PA,5,"SportsCenter, ESPN.com",2,1,1,Male,I play on a college club or JV team,None
12/11/14 14:41,,Miami Dolphins,FL,5,"SportsCenter, ESPN.com, Bleacherreport.com",3,2,8,Male,I play on a college club or JV team,Hurling
12/11/14 16:51,,New York Jets,NY,5,ESPN.com,1,1,0,Male,I am a college Varsity athlete,None
12/11/14 19:20,,New England Patriots,MA,4,"WatchESPN, SportsCenter, ESPN.com",3,1,5,Male,I played in high school on a Varsity team.,None
12/11/14 14:35,,Chicago Bears,IL,5,"WatchESPN, SportsCenter, FantasyPros.com, NFL.com, ESPN.com",5,1,1,Male,I played club or JV sports in High School,Basketball
12/11/14 14:51,,New England patriots ,Ma,5,"SportsCenter, ESPN.com",2,1,4,Male,I played in high school on a Varsity team.,None
12/11/14 14:20,,New York Jets,NJ,3,"WatchESPN, SportsCenter, NFL.com, ESPN.com",4,1,1,Male,I play on a college club or JV team,None
12/11/14 14:48,,Philadelphia eagles ,PA,5,"WatchESPN, SportsCenter, ESPN.com",3,1,6,Male,I played in high school on a Varsity team.,Chess
12/13/14 15:11,,San Fransisco Giants,FL,2,"WatchESPN, SportsCenter, NFL.com, ESPN.com",1,1,3,Male,I played in high school on a Varsity team.,None
12/11/14 14:50,,Miami dolphins,Fl,5,"NFL Sunday Ticket, SportsCenter, NFL.com, ESPN.com",4,3,6,Male,I play on a college club or JV team,None
12/11/14 14:19,,New England Patriots,MA,2,"SportsCenter, FantasyPros.com, NFL.com, ESPN.com",4,1,4,Male,None,None
12/12/14 12:24,,New York Giants,NY,5,"WatchESPN, SportsCenter, NFL.com, ESPN.com",4,1,5,Male,I played in high school on a Varsity team.,Basketball
12/11/14 14:55,,Miami Dolphins,FL,1,"SportsCenter, FantasyPros.com, NFL.com, ESPN.com, yahoo sports",4,1,2,Male,I played in high school on a Varsity team.,None
12/11/14 16:05,,New York Giants,NY,5,"SportsCenter, ESPN.com, CBS Sports",3,1,2,Male,I played in high school on a Varsity team.,Hockey
12/11/14 16:57,,jets,NJ,5,"SportsCenter, NFL.com, ESPN.com",3,1,3,Male,I played in high school on a Varsity team.,Baseball
12/11/14 16:08,,New York Jets,NY,5,"SportsCenter, NFL.com, ESPN.com",3,2,2,Male,I played in high school on a Varsity team.,None
12/11/14 19:18,,Baltimore Ravens,MD,4,"WatchESPN, ESPN.com",2,2,5,Male,I play on a college club or JV team,Soccer (F̼tbol)
12/11/14 14:22,,New York Giants,CT,1,"WatchESPN, SportsCenter, ESPN.com",3,1,2,Male,I played in high school on a Varsity team.,None
12/13/14 12:23,,New England Patriots,CT,1,"WatchESPN, SportsCenter, ESPN.com",3,1,5,Male,I am a college Varsity athlete,None
12/11/14 14:30,,New York Jets,NY,5,ESPN.com,1,3,1,Male,I played in high school on a Varsity team.,None
12/11/14 23:21,,New England Patriots,MA,3,"WatchESPN, SportsCenter, NFL.com, ESPN.com",4,4,5,Male,I played in high school on a Varsity team.,None
12/11/14 14:43,,None ,New York,5,"WatchESPN, SportsCenter, NFL.com, ESPN.com, rotoworld",4,3,7,Male,I played in high school on a Varsity team.,None
12/12/14 14:26,,Denver Broncos,NJ,1,"WatchESPN, SportsCenter, NFL.com, ESPN.com, Redzone",4,1,3,Male,I play on a college club or JV team,None
12/12/14 13:52,,Philadelphia Eagles,PA,2,"WatchESPN, SportsCenter, NFL.com, ESPN.com, Rotoworld.com",4,1,4,Female,I play on a college club or JV team,None
12/11/14 14:32,,Miami Dolphins,New York,5,"NFL Sunday Ticket, SportsCenter, FantasyPros.com, FantasySP.com, NFL.com, ESPN.com",6,2,8,Male,I played in high school on a Varsity team.,Basketball
12/11/14 14:36,,New York Giants,NY,1,"SportsCenter, FantasyPros.com, ESPN.com",3,1,2,Male,I played in high school on a Varsity team.,"Basketball, Baseball"
12/13/14 21:46,,New England Patriots,MA,5,"SportsCenter, ESPN.com, grantland ",,1,5,Male,I played in high school on a Varsity team.,None
